答题序号,Q1_假设您参与一个相亲活动，下面的”一“为15位女嘉宾，请按好感度从高到低排序：,Q2_对于最喜欢的”一“，为何喜欢？,Q3_对于最讨厌的”一“，为何讨厌？,开始时间,提交时间,答题时长
1,第1位:A|第10位:F|第11位:L|第12位:E|第13位:N|第14位:D|第15位:J|第2位:G|第3位:B|第4位:I|第5位:K|第6位:O|第7位:M|第8位:C|第9位:H,有笔锋,太粗,2022-04-26 10:32:16,2022-04-26 10:35:58,03分42秒
2,第1位:H|第10位:L|第11位:K|第12位:D|第13位:G|第14位:O|第15位:N|第2位:J|第3位:C|第4位:M|第5位:F|第6位:E|第7位:I|第8位:B|第9位:A,刚柔并济,有气无力,2022-04-26 11:00:04,2022-04-26 11:01:41,01分37秒
3,第1位:L|第10位:M|第11位:K|第12位:N|第13位:E|第14位:J|第15位:D|第2位:A|第3位:B|第4位:I|第5位:O|第6位:H|第7位:G|第8位:F|第9位:C,纤细有力，瘦而不弱，很有筋骨，有一种自信力。,绵软无力，宽度过于均匀，肥胖羸弱。,2022-04-26 11:47:31,2022-04-26 11:53:23,05分52秒
4,第1位:A|第10位:C|第11位:L|第12位:K|第13位:F|第14位:M|第15位:D|第2位:O|第3位:I|第4位:N|第5位:E|第6位:J|第7位:B|第8位:G|第9位:H,协调，有笔锋，美,用墨不均匀，整体差别感小，感受不到力度,2022-04-26 11:59:31,2022-04-26 12:01:37,02分06秒
5,第1位:E|第10位:I|第11位:L|第12位:M|第13位:A|第14位:G|第15位:D|第2位:O|第3位:J|第4位:B|第5位:K|第6位:H|第7位:C|第8位:N|第9位:F,有力量,太淡了,2022-04-26 13:05:47,2022-04-26 13:07:02,01分15秒
6,第1位:G|第10位:F|第11位:O|第12位:I|第13位:K|第14位:J|第15位:E|第2位:B|第3位:L|第4位:N|第5位:A|第6位:C|第7位:D|第8位:H|第9位:M,比较纤细，末尾笔触比较活泼,粗笨生硬,2022-04-26 13:10:37,2022-04-26 13:13:56,03分19秒
7,第1位:N|第10位:G|第11位:L|第12位:F|第13位:B|第14位:O|第15位:M|第2位:E|第3位:D|第4位:A|第5位:C|第6位:I|第7位:J|第8位:K|第9位:H,太独特了,太普通了,2022-04-26 13:26:15,2022-04-26 13:28:43,02分28秒
8,第1位:L|第10位:K|第11位:H|第12位:F|第13位:N|第14位:D|第15位:G|第2位:M|第3位:C|第4位:J|第5位:I|第6位:B|第7位:A|第8位:E|第9位:O,笔锋尖锐，其实英勇,笔锋繁杂,2022-04-26 13:27:19,2022-04-26 13:30:18,02分59秒
9,第1位:M|第10位:D|第11位:C|第12位:F|第13位:H|第14位:G|第15位:N|第2位:I|第3位:K|第4位:O|第5位:B|第6位:J|第7位:L|第8位:A|第9位:E,好看,难看,2022-04-26 13:30:33,2022-04-26 13:31:54,01分21秒
10,第1位:L|第10位:N|第11位:M|第12位:D|第13位:J|第14位:E|第15位:G|第2位:B|第3位:O|第4位:C|第5位:K|第6位:H|第7位:A|第8位:I|第9位:F,S形曲线,太过于干瘪,2022-04-26 13:25:15,2022-04-26 13:33:40,08分25秒
11,第1位:H|第10位:F|第11位:A|第12位:G|第13位:D|第14位:E|第15位:I|第2位:J|第3位:L|第4位:B|第5位:O|第6位:M|第7位:K|第8位:N|第9位:C,自然,过于刻意,2022-04-26 13:31:40,2022-04-26 13:33:51,02分11秒
12,第1位:H|第10位:F|第11位:I|第12位:O|第13位:A|第14位:N|第15位:G|第2位:E|第3位:L|第4位:C|第5位:J|第6位:D|第7位:K|第8位:B|第9位:M,看着很舒服,太细太怪,2022-04-26 13:32:21,2022-04-26 13:34:13,01分52秒
13,第1位:K|第10位:J|第11位:O|第12位:L|第13位:A|第14位:G|第15位:N|第2位:F|第3位:H|第4位:I|第5位:M|第6位:E|第7位:D|第8位:C|第9位:B,流畅均匀,残缺,2022-04-26 13:28:21,2022-04-26 13:35:01,06分40秒
14,第1位:C|第10位:I|第11位:D|第12位:E|第13位:B|第14位:G|第15位:N|第2位:A|第3位:M|第4位:F|第5位:O|第6位:L|第7位:K|第8位:H|第9位:J,干净、优美,感觉有点奇怪,2022-04-26 13:32:09,2022-04-26 13:35:55,03分46秒
15,第1位:H|第10位:C|第11位:I|第12位:O|第13位:N|第14位:G|第15位:D|第2位:A|第3位:K|第4位:M|第5位:L|第6位:B|第7位:E|第8位:J|第9位:F,因为其朴素之美,太花了,2022-04-26 13:36:22,2022-04-26 13:38:30,02分08秒
16,第1位:K|第10位:L|第11位:A|第12位:F|第13位:B|第14位:G|第15位:N|第2位:E|第3位:I|第4位:O|第5位:C|第6位:M|第7位:D|第8位:H|第9位:J,看起来比较老实人,看起来比较花哨狡诈,2022-04-26 13:37:15,2022-04-26 13:39:40,02分25秒
17,第1位:A|第10位:C|第11位:M|第12位:J|第13位:F|第14位:O|第15位:D|第2位:L|第3位:I|第4位:N|第5位:B|第6位:G|第7位:E|第8位:H|第9位:K,坚挺有骨感,图像噪声太大,2022-04-26 13:37:50,2022-04-26 13:41:43,03分53秒
